Algorithm,CID,Arrival,Burst(MI),Queue,Start,Finish,TAT,WT,RT,QuantumUsed
SRDQ,0,0,33,SJF,100.00,210.00,210.00,177.00,100.00,N/A
SRDQ,1,1,201,RR,210.00,411.00,410.00,209.00,209.00,257.5
SRDQ,2,2,98,RR,411.00,521.00,519.00,421.00,409.00,61.7
SRDQ,3,3,116,RR,521.00,637.00,634.00,518.00,518.00,59.6
SRDQ,4,4,11,SJF,637.00,747.00,743.00,732.00,633.00,N/A
SRDQ,5,5,100,RR,747.00,857.00,852.00,752.00,742.00,60.1
SRDQ,6,6,33,SJF,857.00,967.00,961.00,928.00,851.00,N/A
SRDQ,7,7,78,RR,967.00,1077.00,1070.00,992.00,960.00,67.6
SRDQ,8,4,18,SJF,1077.00,1187.00,1183.00,1165.00,1073.00,N/A
SRDQ,9,8,64,SJF,1187.00,1297.00,1289.00,1225.00,1179.00,N/A
SRSQ,0,0,33,SJF,0.00,33.00,33.00,0.00,0.00,N/A
SRSQ,1,1,201,RR,44.00,752.00,751.00,550.00,43.00,54.1
SRSQ,2,2,98,RR,158.00,548.00,546.00,448.00,156.00,56.4
SRSQ,3,3,116,RR,280.00,726.00,723.00,607.00,277.00,54.6
SRSQ,4,4,11,SJF,33.00,44.00,40.00,29.00,29.00,N/A
SRSQ,5,5,100,RR,337.00,647.00,642.00,542.00,332.00,55.8
SRSQ,6,6,33,SJF,125.00,158.00,152.00,119.00,119.00,N/A
SRSQ,7,7,78,RR,394.00,668.00,661.00,583.00,387.00,55.3
SRSQ,8,4,18,SJF,107.00,125.00,121.00,103.00,103.00,N/A
SRSQ,9,8,64,SJF,216.00,280.00,272.00,208.00,208.00,N/A
SJF,0,0,33,SJF,0.00,33.00,33.00,0.00,0.00,N/A
SJF,1,1,201,SJF,551.00,752.00,751.00,550.00,550.00,N/A
SJF,2,2,98,SJF,237.00,335.00,333.00,235.00,235.00,N/A
SJF,3,3,116,SJF,435.00,551.00,548.00,432.00,432.00,N/A
SJF,4,4,11,SJF,33.00,44.00,40.00,29.00,29.00,N/A
SJF,5,5,100,SJF,335.00,435.00,430.00,330.00,330.00,N/A
SJF,6,6,33,SJF,62.00,95.00,89.00,56.00,56.00,N/A
SJF,7,7,78,SJF,159.00,237.00,230.00,152.00,152.00,N/A
SJF,8,4,18,SJF,44.00,62.00,58.00,40.00,40.00,N/A
SJF,9,8,64,SJF,95.00,159.00,151.00,87.00,87.00,N/A
RR,0,0,33,RR,0.00,33.00,33.00,0.00,0.00,71.0
RR,1,1,201,RR,33.00,752.00,751.00,550.00,32.00,71.0
RR,2,2,98,RR,104.00,612.00,610.00,512.00,102.00,71.0
RR,3,3,116,RR,175.00,657.00,654.00,538.00,172.00,71.0
RR,4,4,11,RR,246.00,257.00,253.00,242.00,242.00,71.0
RR,5,5,100,RR,257.00,686.00,681.00,581.00,252.00,71.0
RR,6,6,33,RR,328.00,361.00,355.00,322.00,322.00,71.0
RR,7,7,78,RR,361.00,693.00,686.00,608.00,354.00,71.0
RR,8,4,18,RR,432.00,450.00,446.00,428.00,428.00,71.0
RR,9,8,64,RR,450.00,514.00,506.00,442.00,442.00,71.0
TSPBRR,0,0,33,TSPBRR,0.00,90.00,90.00,57.00,0.00,4
TSPBRR,1,1,201,TSPBRR,551.00,752.00,751.00,550.00,550.00,21
TSPBRR,2,2,98,TSPBRR,237.00,335.00,333.00,235.00,235.00,10
TSPBRR,3,3,116,TSPBRR,435.00,551.00,548.00,432.00,432.00,12
TSPBRR,4,4,11,TSPBRR,4.00,15.00,11.00,0.00,0.00,2
TSPBRR,5,5,100,TSPBRR,335.00,435.00,430.00,330.00,330.00,10
TSPBRR,6,6,33,TSPBRR,37.00,95.00,89.00,56.00,31.00,4
TSPBRR,7,7,78,TSPBRR,159.00,237.00,230.00,152.00,152.00,8
TSPBRR,8,4,18,TSPBRR,15.00,33.00,29.00,11.00,11.00,2
TSPBRR,9,8,64,TSPBRR,95.00,159.00,151.00,87.00,87.00,7
