Algorithm,CID,Arrival,Burst(MI),Queue,Start,Finish,TAT,WT,RT,QuantumUsed
SRDQ,0,0,49,SJF,100.00,210.00,210.00,161.00,100.00,N/A
SRDQ,1,1,98,SJF,210.00,320.00,319.00,221.00,209.00,N/A
SRDQ,2,2,143,RR,320.00,463.00,461.00,318.00,318.00,140.1
SRDQ,3,3,187,RR,463.00,650.00,647.00,460.00,460.00,116.9
SRDQ,4,4,244,RR,650.00,894.00,890.00,646.00,646.00,193.7
SRDQ,5,4,252,RR,894.00,1146.00,1142.00,890.00,890.00,143.0
SRDQ,6,4,199,RR,1146.00,1345.00,1341.00,1142.00,1142.00,114.6
SRDQ,7,5,67,SJF,1345.00,1455.00,1450.00,1383.00,1340.00,N/A
SRDQ,8,3,83,SJF,1455.00,1565.00,1562.00,1479.00,1452.00,N/A
SRDQ,9,6,75,SJF,1565.00,1675.00,1669.00,1594.00,1559.00,N/A
SRSQ,0,0,49,SJF,0.00,49.00,49.00,0.00,0.00,N/A
SRSQ,1,1,98,SJF,505.00,603.00,602.00,504.00,504.00,N/A
SRSQ,2,2,143,RR,116.00,968.00,966.00,823.00,114.00,112.2
SRSQ,3,3,187,RR,391.00,1041.00,1038.00,851.00,388.00,111.4
SRSQ,4,4,244,RR,603.00,1369.00,1365.00,1121.00,599.00,110.3
SRSQ,5,4,252,RR,716.00,1397.00,1393.00,1141.00,712.00,109.8
SRSQ,6,4,199,RR,829.00,1349.00,1345.00,1146.00,825.00,110.8
SRSQ,7,5,67,SJF,49.00,116.00,111.00,44.00,44.00,N/A
SRSQ,8,3,83,SJF,308.00,391.00,388.00,305.00,305.00,N/A
SRSQ,9,6,75,SJF,233.00,308.00,302.00,227.00,227.00,N/A
SJF,0,0,49,SJF,0.00,49.00,49.00,0.00,0.00,N/A
SJF,1,1,98,SJF,274.00,372.00,371.00,273.00,273.00,N/A
SJF,2,2,143,SJF,372.00,515.00,513.00,370.00,370.00,N/A
SJF,3,3,187,SJF,515.00,702.00,699.00,512.00,512.00,N/A
SJF,4,4,244,SJF,901.00,1145.00,1141.00,897.00,897.00,N/A
SJF,5,4,252,SJF,1145.00,1397.00,1393.00,1141.00,1141.00,N/A
SJF,6,4,199,SJF,702.00,901.00,897.00,698.00,698.00,N/A
SJF,7,5,67,SJF,49.00,116.00,111.00,44.00,44.00,N/A
SJF,8,3,83,SJF,191.00,274.00,271.00,188.00,188.00,N/A
SJF,9,6,75,SJF,116.00,191.00,185.00,110.00,110.00,N/A
RR,0,0,49,RR,0.00,49.00,49.00,0.00,0.00,120.5
RR,1,1,98,RR,49.00,147.00,146.00,48.00,48.00,120.5
RR,2,2,143,RR,147.00,999.00,997.00,854.00,145.00,120.5
RR,3,3,187,RR,268.00,1065.00,1062.00,875.00,265.00,120.5
RR,4,4,244,RR,389.00,1387.00,1383.00,1139.00,385.00,120.5
RR,5,4,252,RR,510.00,1397.00,1393.00,1141.00,506.00,120.5
RR,6,4,199,RR,631.00,1385.00,1381.00,1182.00,627.00,120.5
RR,7,5,67,RR,752.00,819.00,814.00,747.00,747.00,120.5
RR,8,3,83,RR,819.00,902.00,899.00,816.00,816.00,120.5
RR,9,6,75,RR,902.00,977.00,971.00,896.00,896.00,120.5
TSPBRR,0,0,49,TSPBRR,0.00,49.00,49.00,0.00,0.00,5
TSPBRR,1,1,98,TSPBRR,274.00,372.00,371.00,273.00,273.00,10
TSPBRR,2,2,143,TSPBRR,372.00,515.00,513.00,370.00,370.00,15
TSPBRR,3,3,187,TSPBRR,515.00,702.00,699.00,512.00,512.00,19
TSPBRR,4,4,244,TSPBRR,901.00,1145.00,1141.00,897.00,897.00,25
TSPBRR,5,4,252,TSPBRR,1145.00,1397.00,1393.00,1141.00,1141.00,26
TSPBRR,6,4,199,TSPBRR,702.00,901.00,897.00,698.00,698.00,20
TSPBRR,7,5,67,TSPBRR,49.00,116.00,111.00,44.00,44.00,7
TSPBRR,8,3,83,TSPBRR,191.00,274.00,271.00,188.00,188.00,9
TSPBRR,9,6,75,TSPBRR,116.00,191.00,185.00,110.00,110.00,8
